dm-resume-rem-cards-topic-dev,arn:aws:sns:us-west-2:180477243137:dm-resume-rem-cards-topic-dev
dm-resume-rem-cards-topic-prod,arn:aws:sns:us-west-2:180477243137:dm-resume-rem-cards-topic-prod
dm-sat-cfdi-checksum-alarm-sns-topic,arn:aws:sns:us-west-2:180477243137:dm-sat-cfdi-checksum-alarm-sns-topic
dm-sat-cfdi-checksum-notifier-sns-topic,arn:aws:sns:us-west-2:180477243137:dm-sat-cfdi-checksum-notifier-sns-topic
dm-sat-cfdi-customer-notification-topic-dev,arn:aws:sns:us-west-2:180477243137:dm-sat-cfdi-customer-notification-topic-dev
dm-sat-cfdi-customer-notification-topic-prod,arn:aws:sns:us-west-2:180477243137:dm-sat-cfdi-customer-notification-topic-prod
dm-sat-compliance-opinion-completed-dev,arn:aws:sns:us-west-2:180477243137:dm-sat-compliance-opinion-completed-dev
dm-sat-compliance-opinion-completed-prod,arn:aws:sns:us-west-2:180477243137:dm-sat-compliance-opinion-completed-prod
dm-sat-monitoring,arn:aws:sns:us-west-2:180477243137:dm-sat-monitoring
dm_dev_cfdi_checker,arn:aws:sns:us-west-2:180477243137:dm_dev_cfdi_checker
dm_dev_elastic_search,arn:aws:sns:us-west-2:180477243137:dm_dev_elastic_search
dm_dev_mappers,arn:aws:sns:us-west-2:180477243137:dm_dev_mappers
dm_dev_sat_csf_completed,arn:aws:sns:us-west-2:180477243137:dm_dev_sat_csf_completed
dm_dev_sat_idc_completed,arn:aws:sns:us-west-2:180477243137:dm_dev_sat_idc_completed
dm_dev_sat_launcher_sink_out,arn:aws:sns:us-west-2:180477243137:dm_dev_sat_launcher_sink_out
dm_dev_scrapers,arn:aws:sns:us-west-2:180477243137:dm_dev_scrapers
dm_dev_scrapers_dlq,arn:aws:sns:us-west-2:180477243137:dm_dev_scrapers_dlq
dm_dev_sink,arn:aws:sns:us-west-2:180477243137:dm_dev_sink
dm_dev_sink_out,arn:aws:sns:us-west-2:180477243137:dm_dev_sink_out
dm_prod_cfdi_checker,arn:aws:sns:us-west-2:180477243137:dm_prod_cfdi_checker
dm_prod_mappers,arn:aws:sns:us-west-2:180477243137:dm_prod_mappers
dm_prod_mappers_dlq,arn:aws:sns:us-west-2:180477243137:dm_prod_mappers_dlq
dm_prod_sat_csf_completed,arn:aws:sns:us-west-2:180477243137:dm_prod_sat_csf_completed
dm_prod_sat_idc_completed,arn:aws:sns:us-west-2:180477243137:dm_prod_sat_idc_completed
dm_prod_sat_launcher_sink_out,arn:aws:sns:us-west-2:180477243137:dm_prod_sat_launcher_sink_out
dm_prod_scrapers,arn:aws:sns:us-west-2:180477243137:dm_prod_scrapers
dm_prod_scrapers_dlq,arn:aws:sns:us-west-2:180477243137:dm_prod_scrapers_dlq
dm_prod_sink,arn:aws:sns:us-west-2:180477243137:dm_prod_sink
dm_prod_sink_out,arn:aws:sns:us-west-2:180477243137:dm_prod_sink_out
dm_sat_cfdi_completed_dev,arn:aws:sns:us-west-2:180477243137:dm_sat_cfdi_completed_dev
dm_sat_cfdi_completed_prod,arn:aws:sns:us-west-2:180477243137:dm_sat_cfdi_completed_prod
dm_sat_csf_completed_dev,arn:aws:sns:us-west-2:180477243137:dm_sat_csf_completed_dev
dm_sat_csf_completed_prod,arn:aws:sns:us-west-2:180477243137:dm_sat_csf_completed_prod
dm_sat_da_completed_dev,arn:aws:sns:us-west-2:180477243137:dm_sat_da_completed_dev
dm_sat_da_completed_prod,arn:aws:sns:us-west-2:180477243137:dm_sat_da_completed_prod
dm_sat_launcher_sink,arn:aws:sns:us-west-2:180477243137:dm_sat_launcher_sink
ds-topup-model-pfae-topic-dev,arn:aws:sns:us-west-2:180477243137:ds-topup-model-pfae-topic-dev
ds-topup-model-pfae-topic-prod,arn:aws:sns:us-west-2:180477243137:ds-topup-model-pfae-topic-prod
ds-topup-model-pm-topic-dev,arn:aws:sns:us-west-2:180477243137:ds-topup-model-pm-topic-dev
ds-topup-model-pm-topic-prod,arn:aws:sns:us-west-2:180477243137:ds-topup-model-pm-topic-prod
dynamic_stages_dev,arn:aws:sns:us-west-2:180477243137:dynamic_stages_dev
dynamic_stages_prod,arn:aws:sns:us-west-2:180477243137:dynamic_stages_prod
